DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [29-Mar-2022]	[23:45] BNB $434.70
StonksBot#2363 [30-Mar-2022]	[0:00] BNB $433.30
StonksBot#2363 [30-Mar-2022]	[0:15] BNB $432.30
StonksBot#2363 [30-Mar-2022]	[0:30] BNB $430.90
StonksBot#2363 [30-Mar-2022]	[0:45] BNB $431.80
StonksBot#2363 [30-Mar-2022]	[1:00] BNB $432.70
StonksBot#2363 [30-Mar-2022]	[1:15] BNB $433.70
StonksBot#2363 [30-Mar-2022]	[1:30] BNB $433.70
StonksBot#2363 [30-Mar-2022]	[1:45] BNB $433.50
StonksBot#2363 [30-Mar-2022]	[2:00] BNB $434.90
StonksBot#2363 [30-Mar-2022]	[2:15] BNB $436.10
StonksBot#2363 [30-Mar-2022]	[2:30] BNB $437.00
StonksBot#2363 [30-Mar-2022]	[2:45] BNB $436.60
StonksBot#2363 [30-Mar-2022]	[3:00] BNB $436.60
StonksBot#2363 [30-Mar-2022]	[3:15] BNB $436.00
StonksBot#2363 [30-Mar-2022]	[3:30] BNB $436.50
StonksBot#2363 [30-Mar-2022]	[3:45] BNB $436.30
StonksBot#2363 [30-Mar-2022]	[4:00] BNB $433.90
StonksBot#2363 [30-Mar-2022]	[4:15] BNB $433.70
StonksBot#2363 [30-Mar-2022]	[4:30] BNB $433.90
StonksBot#2363 [30-Mar-2022]	[4:45] BNB $433.70
StonksBot#2363 [30-Mar-2022]	[5:00] BNB $432.50
StonksBot#2363 [30-Mar-2022]	[5:15] BNB $432.60
StonksBot#2363 [30-Mar-2022]	[5:30] BNB $432.30
StonksBot#2363 [30-Mar-2022]	[5:45] BNB $432.80
StonksBot#2363 [30-Mar-2022]	[6:00] BNB $433.00
StonksBot#2363 [30-Mar-2022]	[6:15] BNB $432.70
StonksBot#2363 [30-Mar-2022]	[6:30] BNB $433.60
StonksBot#2363 [30-Mar-2022]	[6:45] BNB $434.20
StonksBot#2363 [30-Mar-2022]	[7:00] BNB $433.80
StonksBot#2363 [30-Mar-2022]	[7:15] BNB $434.00
StonksBot#2363 [30-Mar-2022]	[7:30] BNB $432.10
StonksBot#2363 [30-Mar-2022]	[7:45] BNB $431.60
StonksBot#2363 [30-Mar-2022]	[8:00] BNB $432.90
StonksBot#2363 [30-Mar-2022]	[8:15] BNB $432.50
StonksBot#2363 [30-Mar-2022]	[8:30] BNB $429.70
StonksBot#2363 [30-Mar-2022]	[8:45] BNB $427.70
StonksBot#2363 [30-Mar-2022]	[9:00] BNB $427.80
StonksBot#2363 [30-Mar-2022]	[9:15] BNB $429.80
StonksBot#2363 [30-Mar-2022]	[9:30] BNB $430.50
StonksBot#2363 [30-Mar-2022]	[9:45] BNB $430.70
StonksBot#2363 [30-Mar-2022]	[10:00] BNB $430.70
StonksBot#2363 [30-Mar-2022]	[10:15] BNB $432.20
StonksBot#2363 [30-Mar-2022]	[10:30] BNB $432.80
StonksBot#2363 [30-Mar-2022]	[10:45] BNB $431.50
StonksBot#2363 [30-Mar-2022]	[11:00] BNB $433.40
StonksBot#2363 [30-Mar-2022]	[11:15] BNB $433.20
StonksBot#2363 [30-Mar-2022]	[11:30] BNB $432.30
StonksBot#2363 [30-Mar-2022]	[11:45] BNB $430.80
StonksBot#2363 [30-Mar-2022]	[12:00] BNB $431.20
StonksBot#2363 [30-Mar-2022]	[12:15] BNB $431.40
StonksBot#2363 [30-Mar-2022]	[12:30] BNB $432.40
StonksBot#2363 [30-Mar-2022]	[12:45] BNB $432.60
StonksBot#2363 [30-Mar-2022]	[13:00] BNB $433.10
StonksBot#2363 [30-Mar-2022]	[13:15] BNB $434.20
StonksBot#2363 [30-Mar-2022]	[13:30] BNB $435.30
StonksBot#2363 [30-Mar-2022]	[13:45] BNB $433.60
StonksBot#2363 [30-Mar-2022]	[14:00] BNB $434.80
StonksBot#2363 [30-Mar-2022]	[14:15] BNB $436.20
StonksBot#2363 [30-Mar-2022]	[14:30] BNB $436.80
StonksBot#2363 [30-Mar-2022]	[14:45] BNB $436.60
StonksBot#2363 [30-Mar-2022]	[15:00] BNB $436.90
StonksBot#2363 [30-Mar-2022]	[15:15] BNB $435.90
StonksBot#2363 [30-Mar-2022]	[15:30] BNB $436.80
StonksBot#2363 [30-Mar-2022]	[15:45] BNB $437.40
StonksBot#2363 [30-Mar-2022]	[16:00] BNB $438.00
StonksBot#2363 [30-Mar-2022]	[16:15] BNB $437.00
StonksBot#2363 [30-Mar-2022]	[16:30] BNB $436.90
StonksBot#2363 [30-Mar-2022]	[16:45] BNB $436.70
StonksBot#2363 [30-Mar-2022]	[17:00] BNB $436.00
StonksBot#2363 [30-Mar-2022]	[17:15] BNB $436.10
StonksBot#2363 [30-Mar-2022]	[17:30] BNB $436.80
StonksBot#2363 [30-Mar-2022]	[17:45] BNB $438.60
StonksBot#2363 [30-Mar-2022]	[18:00] BNB $438.80
