DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [29-Mar-2022]	[23:45] BTC $47532.77
StonksBot#2363 [30-Mar-2022]	[0:00] BTC $47460.00
StonksBot#2363 [30-Mar-2022]	[0:15] BTC $47379.70
StonksBot#2363 [30-Mar-2022]	[0:30] BTC $47238.62
StonksBot#2363 [30-Mar-2022]	[0:45] BTC $47355.81
StonksBot#2363 [30-Mar-2022]	[1:00] BTC $47440.00
StonksBot#2363 [30-Mar-2022]	[1:15] BTC $47545.70
StonksBot#2363 [30-Mar-2022]	[1:30] BTC $47537.01
StonksBot#2363 [30-Mar-2022]	[1:45] BTC $47495.75
StonksBot#2363 [30-Mar-2022]	[2:00] BTC $47500.39
StonksBot#2363 [30-Mar-2022]	[2:15] BTC $47680.89
StonksBot#2363 [30-Mar-2022]	[2:30] BTC $47778.51
StonksBot#2363 [30-Mar-2022]	[2:45] BTC $47739.16
StonksBot#2363 [30-Mar-2022]	[3:00] BTC $47705.00
StonksBot#2363 [30-Mar-2022]	[3:15] BTC $47659.50
StonksBot#2363 [30-Mar-2022]	[3:30] BTC $47619.08
StonksBot#2363 [30-Mar-2022]	[3:45] BTC $47572.01
StonksBot#2363 [30-Mar-2022]	[4:00] BTC $47453.71
StonksBot#2363 [30-Mar-2022]	[4:15] BTC $47370.11
StonksBot#2363 [30-Mar-2022]	[4:30] BTC $47459.27
StonksBot#2363 [30-Mar-2022]	[4:45] BTC $47361.28
StonksBot#2363 [30-Mar-2022]	[5:00] BTC $47263.28
StonksBot#2363 [30-Mar-2022]	[5:15] BTC $47248.60
StonksBot#2363 [30-Mar-2022]	[5:30] BTC $47239.51
StonksBot#2363 [30-Mar-2022]	[5:45] BTC $47323.83
StonksBot#2363 [30-Mar-2022]	[6:00] BTC $47324.28
StonksBot#2363 [30-Mar-2022]	[6:15] BTC $47337.51
StonksBot#2363 [30-Mar-2022]	[6:30] BTC $47387.55
StonksBot#2363 [30-Mar-2022]	[6:45] BTC $47460.45
StonksBot#2363 [30-Mar-2022]	[7:00] BTC $47404.55
StonksBot#2363 [30-Mar-2022]	[7:15] BTC $47401.12
StonksBot#2363 [30-Mar-2022]	[7:30] BTC $47274.49
StonksBot#2363 [30-Mar-2022]	[7:45] BTC $47194.53
StonksBot#2363 [30-Mar-2022]	[8:00] BTC $47245.21
StonksBot#2363 [30-Mar-2022]	[8:15] BTC $47176.45
StonksBot#2363 [30-Mar-2022]	[8:30] BTC $47064.50
