DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [29-Mar-2022]	[23:45] ETH $3422.17
StonksBot#2363 [30-Mar-2022]	[0:00] ETH $3418.13
StonksBot#2363 [30-Mar-2022]	[0:15] ETH $3407.05
StonksBot#2363 [30-Mar-2022]	[0:30] ETH $3387.74
StonksBot#2363 [30-Mar-2022]	[0:45] ETH $3391.59
StonksBot#2363 [30-Mar-2022]	[1:00] ETH $3399.00
StonksBot#2363 [30-Mar-2022]	[1:15] ETH $3408.91
StonksBot#2363 [30-Mar-2022]	[1:30] ETH $3408.71
StonksBot#2363 [30-Mar-2022]	[1:45] ETH $3406.78
StonksBot#2363 [30-Mar-2022]	[2:00] ETH $3413.08
StonksBot#2363 [30-Mar-2022]	[2:15] ETH $3434.26
StonksBot#2363 [30-Mar-2022]	[2:30] ETH $3437.57
StonksBot#2363 [30-Mar-2022]	[2:45] ETH $3435.21
StonksBot#2363 [30-Mar-2022]	[3:00] ETH $3426.57
StonksBot#2363 [30-Mar-2022]	[3:15] ETH $3422.00
StonksBot#2363 [30-Mar-2022]	[3:30] ETH $3423.13
StonksBot#2363 [30-Mar-2022]	[3:45] ETH $3418.71
StonksBot#2363 [30-Mar-2022]	[4:00] ETH $3395.29
StonksBot#2363 [30-Mar-2022]	[4:15] ETH $3391.35
StonksBot#2363 [30-Mar-2022]	[4:30] ETH $3395.05
StonksBot#2363 [30-Mar-2022]	[4:45] ETH $3382.27
StonksBot#2363 [30-Mar-2022]	[5:00] ETH $3376.52
StonksBot#2363 [30-Mar-2022]	[5:15] ETH $3373.56
StonksBot#2363 [30-Mar-2022]	[5:30] ETH $3370.97
StonksBot#2363 [30-Mar-2022]	[5:45] ETH $3379.45
StonksBot#2363 [30-Mar-2022]	[6:00] ETH $3385.18
StonksBot#2363 [30-Mar-2022]	[6:15] ETH $3382.04
StonksBot#2363 [30-Mar-2022]	[6:30] ETH $3393.27
StonksBot#2363 [30-Mar-2022]	[6:45] ETH $3396.56
StonksBot#2363 [30-Mar-2022]	[7:00] ETH $3397.25
StonksBot#2363 [30-Mar-2022]	[7:15] ETH $3392.22
StonksBot#2363 [30-Mar-2022]	[7:30] ETH $3378.02
StonksBot#2363 [30-Mar-2022]	[7:45] ETH $3367.23
StonksBot#2363 [30-Mar-2022]	[8:00] ETH $3372.61
StonksBot#2363 [30-Mar-2022]	[8:15] ETH $3374.59
StonksBot#2363 [30-Mar-2022]	[8:30] ETH $3362.57
StonksBot#2363 [30-Mar-2022]	[8:45] ETH $3351.02
StonksBot#2363 [30-Mar-2022]	[9:00] ETH $3342.86
StonksBot#2363 [30-Mar-2022]	[9:15] ETH $3363.83
StonksBot#2363 [30-Mar-2022]	[9:30] ETH $3365.85
StonksBot#2363 [30-Mar-2022]	[9:45] ETH $3371.70
StonksBot#2363 [30-Mar-2022]	[10:00] ETH $3370.82
StonksBot#2363 [30-Mar-2022]	[10:15] ETH $3382.07
StonksBot#2363 [30-Mar-2022]	[10:30] ETH $3387.13
StonksBot#2363 [30-Mar-2022]	[10:45] ETH $3375.86
StonksBot#2363 [30-Mar-2022]	[11:00] ETH $3382.38
StonksBot#2363 [30-Mar-2022]	[11:15] ETH $3386.59
StonksBot#2363 [30-Mar-2022]	[11:30] ETH $3378.71
StonksBot#2363 [30-Mar-2022]	[11:45] ETH $3365.74
StonksBot#2363 [30-Mar-2022]	[12:00] ETH $3369.19
StonksBot#2363 [30-Mar-2022]	[12:15] ETH $3380.69
StonksBot#2363 [30-Mar-2022]	[12:30] ETH $3399.99
StonksBot#2363 [30-Mar-2022]	[12:45] ETH $3392.26
StonksBot#2363 [30-Mar-2022]	[13:00] ETH $3404.02
StonksBot#2363 [30-Mar-2022]	[13:15] ETH $3408.94
StonksBot#2363 [30-Mar-2022]	[13:30] ETH $3412.08
StonksBot#2363 [30-Mar-2022]	[13:45] ETH $3396.85
StonksBot#2363 [30-Mar-2022]	[14:00] ETH $3404.02
StonksBot#2363 [30-Mar-2022]	[14:15] ETH $3405.40
StonksBot#2363 [30-Mar-2022]	[14:30] ETH $3410.72
StonksBot#2363 [30-Mar-2022]	[14:45] ETH $3408.26
StonksBot#2363 [30-Mar-2022]	[15:00] ETH $3408.94
StonksBot#2363 [30-Mar-2022]	[15:15] ETH $3396.13
StonksBot#2363 [30-Mar-2022]	[15:30] ETH $3402.21
StonksBot#2363 [30-Mar-2022]	[15:45] ETH $3408.06
StonksBot#2363 [30-Mar-2022]	[16:00] ETH $3404.34
StonksBot#2363 [30-Mar-2022]	[16:15] ETH $3394.28
StonksBot#2363 [30-Mar-2022]	[16:30] ETH $3394.27
StonksBot#2363 [30-Mar-2022]	[16:45] ETH $3389.70
StonksBot#2363 [30-Mar-2022]	[17:00] ETH $3382.03
StonksBot#2363 [30-Mar-2022]	[17:15] ETH $3389.87
StonksBot#2363 [30-Mar-2022]	[17:30] ETH $3393.60
StonksBot#2363 [30-Mar-2022]	[17:45] ETH $3400.60
StonksBot#2363 [30-Mar-2022]	[18:00] ETH $3399.21
StonksBot#2363 [30-Mar-2022]	[18:15] ETH $3385.72
StonksBot#2363 [30-Mar-2022]	[18:30] ETH $3412.76
StonksBot#2363 [30-Mar-2022]	[18:45] ETH $3406.71
StonksBot#2363 [30-Mar-2022]	[19:00] ETH $3404.02
StonksBot#2363 [30-Mar-2022]	[19:15] ETH $3393.56
StonksBot#2363 [30-Mar-2022]	[19:30] ETH $3396.31
StonksBot#2363 [30-Mar-2022]	[19:45] ETH $3400.01
StonksBot#2363 [30-Mar-2022]	[20:00] ETH $3399.36
StonksBot#2363 [30-Mar-2022]	[20:15] ETH $3383.84
StonksBot#2363 [30-Mar-2022]	[20:30] ETH $3391.66
StonksBot#2363 [30-Mar-2022]	[20:45] ETH $3377.33
StonksBot#2363 [30-Mar-2022]	[21:00] ETH $3369.01
StonksBot#2363 [30-Mar-2022]	[21:15] ETH $3372.04
StonksBot#2363 [30-Mar-2022]	[21:30] ETH $3370.20
StonksBot#2363 [30-Mar-2022]	[21:45] ETH $3378.36
StonksBot#2363 [30-Mar-2022]	[22:00] ETH $3368.86
StonksBot#2363 [30-Mar-2022]	[22:15] ETH $3366.58
StonksBot#2363 [30-Mar-2022]	[22:30] ETH $3353.46
StonksBot#2363 [30-Mar-2022]	[22:45] ETH $3368.91
StonksBot#2363 [30-Mar-2022]	[23:00] ETH $3381.70
StonksBot#2363 [30-Mar-2022]	[23:15] ETH $3382.74
StonksBot#2363 [30-Mar-2022]	[23:30] ETH $3391.16
StonksBot#2363 [30-Mar-2022]	[23:45] ETH $3402.90
StonksBot#2363 [31-Mar-2022]	[0:00] ETH $3396.99
StonksBot#2363 [31-Mar-2022]	[0:15] ETH $3402.13
StonksBot#2363 [31-Mar-2022]	[0:30] ETH $3392.56
StonksBot#2363 [31-Mar-2022]	[0:45] ETH $3420.33
StonksBot#2363 [31-Mar-2022]	[1:00] ETH $3439.67
StonksBot#2363 [31-Mar-2022]	[1:15] ETH $3434.14
StonksBot#2363 [31-Mar-2022]	[1:30] ETH $3421.06
StonksBot#2363 [31-Mar-2022]	[1:45] ETH $3409.14
StonksBot#2363 [31-Mar-2022]	[2:00] ETH $3396.67
StonksBot#2363 [31-Mar-2022]	[2:15] ETH $3395.03
StonksBot#2363 [31-Mar-2022]	[2:30] ETH $3384.81
StonksBot#2363 [31-Mar-2022]	[2:45] ETH $3386.51
StonksBot#2363 [31-Mar-2022]	[3:00] ETH $3398.00
