DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [29-Mar-2022]	[23:45] SOL $111.3
StonksBot#2363 [30-Mar-2022]	[0:00] SOL $110.7
StonksBot#2363 [30-Mar-2022]	[0:15] SOL $110.8
StonksBot#2363 [30-Mar-2022]	[0:30] SOL $109.5
StonksBot#2363 [30-Mar-2022]	[0:45] SOL $109.8
StonksBot#2363 [30-Mar-2022]	[1:00] SOL $110.2
StonksBot#2363 [30-Mar-2022]	[1:15] SOL $110.7
StonksBot#2363 [30-Mar-2022]	[1:30] SOL $110.5
StonksBot#2363 [30-Mar-2022]	[1:45] SOL $110.3
StonksBot#2363 [30-Mar-2022]	[2:00] SOL $110.7
StonksBot#2363 [30-Mar-2022]	[2:15] SOL $112.0
StonksBot#2363 [30-Mar-2022]	[2:30] SOL $112.2
StonksBot#2363 [30-Mar-2022]	[2:45] SOL $113.3
StonksBot#2363 [30-Mar-2022]	[3:00] SOL $113.8
StonksBot#2363 [30-Mar-2022]	[3:15] SOL $113.0
StonksBot#2363 [30-Mar-2022]	[3:30] SOL $113.4
StonksBot#2363 [30-Mar-2022]	[3:45] SOL $113.6
StonksBot#2363 [30-Mar-2022]	[4:00] SOL $112.6
StonksBot#2363 [30-Mar-2022]	[4:15] SOL $112.5
StonksBot#2363 [30-Mar-2022]	[4:30] SOL $112.1
StonksBot#2363 [30-Mar-2022]	[4:45] SOL $111.9
StonksBot#2363 [30-Mar-2022]	[5:00] SOL $111.1
StonksBot#2363 [30-Mar-2022]	[5:15] SOL $110.6
StonksBot#2363 [30-Mar-2022]	[5:30] SOL $110.2
StonksBot#2363 [30-Mar-2022]	[5:45] SOL $110.7
StonksBot#2363 [30-Mar-2022]	[6:00] SOL $110.6
StonksBot#2363 [30-Mar-2022]	[6:15] SOL $110.5
StonksBot#2363 [30-Mar-2022]	[6:30] SOL $110.9
StonksBot#2363 [30-Mar-2022]	[6:45] SOL $111.3
StonksBot#2363 [30-Mar-2022]	[7:00] SOL $111.4
StonksBot#2363 [30-Mar-2022]	[7:15] SOL $111.0
StonksBot#2363 [30-Mar-2022]	[7:30] SOL $110.2
StonksBot#2363 [30-Mar-2022]	[7:45] SOL $109.7
StonksBot#2363 [30-Mar-2022]	[8:00] SOL $109.5
StonksBot#2363 [30-Mar-2022]	[8:15] SOL $109.1
StonksBot#2363 [30-Mar-2022]	[8:30] SOL $108.0
StonksBot#2363 [30-Mar-2022]	[8:45] SOL $107.8
StonksBot#2363 [30-Mar-2022]	[9:00] SOL $107.8
StonksBot#2363 [30-Mar-2022]	[9:15] SOL $109.3
StonksBot#2363 [30-Mar-2022]	[9:30] SOL $109.4
StonksBot#2363 [30-Mar-2022]	[9:45] SOL $109.8
StonksBot#2363 [30-Mar-2022]	[10:00] SOL $110.0
StonksBot#2363 [30-Mar-2022]	[10:15] SOL $110.4
StonksBot#2363 [30-Mar-2022]	[10:30] SOL $110.7
StonksBot#2363 [30-Mar-2022]	[10:45] SOL $109.8
StonksBot#2363 [30-Mar-2022]	[11:00] SOL $110.7
